name	priority	icon
Variants	1	/static/icons/variant.png
Genes	2	/static/icons/gene.png
Tissues/Cells	3	/static/icons/cells.png
exRNAs	4	/static/icons/exrna.png
Drugs	5	/static/icons/drugs.png
Birth Defects	6	/static/icons/birthdefect.png
Metabolites	7	/static/icons/metabolites.png
Glycans	8	/static/icons/glycosylations.png
Datasets	9	/static/icons/datasets.png
Researchers	10	/static/icons/researcher.png
Tools	11	/static/icons/tool.png
Assays	12	/static/icons/assay.png
